order,id,conditionType,conditionTarget,title,description,targetAmount,rewardCurrency,rewardAmount
261,kill_enemies_300_step261,EnemyKill,,공세 차단,적 300마리를 처치하기,300,Credits,39000
262,draw_weapon_20_step262,DrawWeaponGacha,,전선 장비 투입,무기를 20회 뽑기,20,CoreCrystals,270
263,enhance_weapon_25_step263,EnhanceWeapon,,화력 기준 상향,무기를 25회 강화하기,25,CoreCrystals,325
264,reach_stage_33_step264,StageClear,,지역 통제,스테이지 33에 도달하기,33,CoreCrystals,390
265,reach_level_61_step265,PlayerLevel,,상급 지휘관,지휘관 레벨 61에 도달하기,61,CoreCrystals,305
266,collect_credits_13000_step266,CollectCredits,,자금 운용 안정화,정제소 크레딧 13000을 수급하기,13000,CoreCrystals,390
267,defeat_boss_5_step267,BossDefeat,,결전 보스전,보스를 5회 격퇴하기,5,CoreCrystals,570
268,draw_skill_20_step268,DrawSkillGacha,,스킬 보급 작전,스킬을 20회 뽑기,20,CoreCrystals,250
270,enhance_drone_15_step270,EnhanceDrone,,드론 전투력 보정,드론을 15회 강화하기,15,CoreCrystals,305
271,kill_enemies_320_step271,EnemyKill,,잔존 세력 제거,적 320마리를 처치하기,320,Credits,40000
272,collect_weapons_1_step272,WeaponCollect,,희귀 무장 확보,무기를 1회 뽑기,1,Credits,30000
274,use_boss_ticket_5_step274,UseBossTicket,,연속 진입 심화,보스 진입 티켓을 5회 사용하기,5,Credits,21500
275,reach_stage_34_step275,StageClear,,공세선 유지,스테이지 34에 도달하기,34,CoreCrystals,395
276,collect_credits_13500_step276,CollectCredits,,장기 군수 유지,정제소 크레딧 13500을 수급하기,13500,CoreCrystals,400
277,defeat_boss_5_step277,BossDefeat,,위협 지휘체 제거,보스를 5회 격퇴하기,5,CoreCrystals,580
278,use_boss_ticket_5_step278,UseBossTicket,,위험 구역 반복,보스 진입 티켓을 5회 사용하기,5,Credits,275
279,enhance_weapon_25_step279,EnhanceWeapon,,무장 개량 지속,무기를 25회 강화하기,25,CoreCrystals,330
280,reach_level_64_step280,PlayerLevel,,전역 판단관,지휘관 레벨 64에 도달하기,64,CoreCrystals,310
281,kill_enemies_330_step281,EnemyKill,,전선 청소,적 330마리를 처치하기,330,Credits,41000
282,draw_weapon_20_step282,DrawWeaponGacha,,전선 무기 보급,무기를 20회 뽑기,20,CoreCrystals,255
284,enhance_drone_15_step284,EnhanceDrone,,정예 드론 보정,드론을 15회 강화하기,15,CoreCrystals,310
285,reach_stage_35_step285,StageClear,,확장 경로 돌파,스테이지 35에 도달하기,35,CoreCrystals,400
286,collect_credits_14000_step286,CollectCredits,,보급 자금 유지,정제소 크레딧 14000을 수급하기,14000,CoreCrystals,410
287,defeat_boss_6_step287,BossDefeat,,강적 소모전,보스를 6회 격퇴하기,6,CoreCrystals,590
288,collect_weapons_1_step288,WeaponCollect,,장비 수집 진척,무기를 1회 뽑기,1,Credits,31000
290,use_boss_ticket_6_step290,UseBossTicket,,보스 추적 지속,보스 진입 티켓을 6회 사용하기,6,Credits,22000
291,kill_enemies_340_step291,EnemyKill,,광역 제압,적 340마리를 처치하기,340,Credits,42000
292,enhance_unit_8_step292,EnhanceUnit,,부대 성능 개선,유닛 강화 8단계에 도달하기,8,CoreCrystals,280
293,enhance_weapon_30_step293,EnhanceWeapon,,무기 성능 상향,무기를 30회 강화하기,30,CoreCrystals,335
294,reach_stage_36_step294,StageClear,,전선 전개,스테이지 36에 도달하기,36,CoreCrystals,405
295,reach_level_67_step295,PlayerLevel,,사령 체계 강화,지휘관 레벨 67에 도달하기,67,CoreCrystals,315
296,collect_credits_14500_step296,CollectCredits,,군수 순환 확대,정제소 크레딧 14500을 수급하기,14500,CoreCrystals,420
297,defeat_boss_6_step297,BossDefeat,,정예 보스전,보스를 6회 격퇴하기,6,CoreCrystals,600
298,draw_skill_20_step298,DrawSkillGacha,,스킬 보급 작전,스킬을 20회 뽑기,20,CoreCrystals,260
300,enhance_drone_15_step300,EnhanceDrone,,드론 성능 개선,드론을 15회 강화하기,15,CoreCrystals,315
301,kill_enemies_360_step301,EnemyKill,,위협 밀도 감소,적 360마리를 처치하기,360,Credits,43000
302,collect_weapons_1_step302,WeaponCollect,,무기 운용 폭 확장,무기를 1회 뽑기,1,Credits,32000
304,use_boss_ticket_6_step304,UseBossTicket,,위협 지역 재진입,보스 진입 티켓을 6회 사용하기,6,Credits,22500
305,reach_stage_37_step305,StageClear,,최전선 유지,스테이지 37에 도달하기,37,CoreCrystals,410
306,collect_credits_15000_step306,CollectCredits,,전역 자원 축적,정제소 크레딧 15000을 수급하기,15000,CoreCrystals,430
307,defeat_boss_6_step307,BossDefeat,,위협 지휘망 차단,보스를 6회 격퇴하기,6,CoreCrystals,610
308,enhance_drone_20_step308,EnhanceDrone,,드론 운용 강화,드론을 20회 강화하기,20,CoreCrystals,285
309,enhance_weapon_30_step309,EnhanceWeapon,,장기 화력 보정,무기를 30회 강화하기,30,CoreCrystals,340
310,reach_level_70_step310,PlayerLevel,,전술 숙련 심화,지휘관 레벨 70에 도달하기,70,CoreCrystals,320
311,kill_enemies_370_step311,EnemyKill,,최전선 정리,적 370마리를 처치하기,370,Credits,44000
312,draw_weapon_25_step312,DrawWeaponGacha,,무기 보급 안정화,무기를 25회 뽑기,25,CoreCrystals,265
314,enhance_drone_20_step314,EnhanceDrone,,드론 개량 지속,드론을 20회 강화하기,20,CoreCrystals,320
315,reach_stage_38_step315,StageClear,,장기 전선 돌파,스테이지 38에 도달하기,38,CoreCrystals,415
316,collect_credits_15500_step316,CollectCredits,,장기 작전 자금,정제소 크레딧 15500을 수급하기,15500,CoreCrystals,440
317,defeat_boss_6_step317,BossDefeat,,연속 강적 격퇴,보스를 6회 격퇴하기,6,CoreCrystals,620
318,collect_weapons_1_step318,WeaponCollect,,무장 선택지 확대,무기를 1회 뽑기,1,Credits,33000
320,use_boss_ticket_6_step320,UseBossTicket,,위험 대응 반복,보스 진입 티켓을 6회 사용하기,6,Credits,23000
321,kill_enemies_380_step321,EnemyKill,,결전지 소탕,적 380마리를 처치하기,380,Credits,45000
322,reach_stage_40_step322,StageClear,,진군로 확보,스테이지 40에 도달하기,40,CoreCrystals,290
323,enhance_weapon_30_step323,EnhanceWeapon,,무장 완성도 향상,무기를 30회 강화하기,30,CoreCrystals,345
324,reach_stage_41_step324,StageClear,,전선 재정비,스테이지 41에 도달하기,41,CoreCrystals,420
325,reach_level_74_step325,PlayerLevel,,전역 통솔관,지휘관 레벨 74에 도달하기,74,CoreCrystals,325
326,collect_credits_16000_step326,CollectCredits,,군수망 안정화,정제소 크레딧 16000을 수급하기,16000,CoreCrystals,450
327,defeat_boss_6_step327,BossDefeat,,결전 위협 제거,보스를 6회 격퇴하기,6,CoreCrystals,630
328,draw_skill_25_step328,DrawSkillGacha,,스킬 보급 작전,스킬을 25회 뽑기,25,CoreCrystals,270
329,enhance_unit_9_step329,EnhanceUnit,,부대 개량 지속,유닛 강화 9단계에 도달하기,9,CoreCrystals,325
330,enhance_drone_20_step330,EnhanceDrone,,드론 최종 조율,드론을 20회 강화하기,20,CoreCrystals,325
331,kill_enemies_400_step331,EnemyKill,,잔당 소탕,적 400마리를 처치하기,400,Credits,46000
332,collect_weapons_1_step332,WeaponCollect,,고성능 무장 확보,무기를 1회 뽑기,1,Credits,34000
334,use_boss_ticket_7_step334,UseBossTicket,,심층 보스 작전,보스 진입 티켓을 7회 사용하기,7,Credits,23500
335,reach_stage_42_step335,StageClear,,거점 연결,스테이지 42에 도달하기,42,CoreCrystals,425
336,collect_credits_16500_step336,CollectCredits,,대형 작전비 확보,정제소 크레딧 16500을 수급하기,16500,CoreCrystals,460
337,defeat_boss_7_step337,BossDefeat,,고난도 위협 격파,보스를 7회 격퇴하기,7,CoreCrystals,640
338,kill_enemies_410_step338,EnemyKill,,외곽 정리,적 410마리를 처치하기,410,Credits,295
339,enhance_weapon_35_step339,EnhanceWeapon,,천오백 무장 강화,무기를 35회 강화하기,35,CoreCrystals,350
340,reach_level_77_step340,PlayerLevel,,전장의 대가,지휘관 레벨 77에 도달하기,77,CoreCrystals,330
341,kill_enemies_430_step341,EnemyKill,,전초지 압박,적 430마리를 처치하기,430,Credits,47000
342,draw_weapon_25_step342,DrawWeaponGacha,,전략 장비 보급,무기를 25회 뽑기,25,CoreCrystals,275
344,enhance_drone_20_step344,EnhanceDrone,,드론 전력 유지,드론을 20회 강화하기,20,CoreCrystals,330
345,reach_stage_43_step345,StageClear,,방어선 돌파,스테이지 43에 도달하기,43,CoreCrystals,430
346,collect_credits_17000_step346,CollectCredits,,군수 비축 확대,정제소 크레딧 17000을 수급하기,17000,CoreCrystals,470
347,defeat_boss_7_step347,BossDefeat,,위협 종결 준비,보스를 7회 격퇴하기,7,CoreCrystals,650
348,collect_weapons_1_step348,WeaponCollect,,특수 장비 확장,무기를 1회 뽑기,1,Credits,35000
350,use_boss_ticket_7_step350,UseBossTicket,,전장 심층 반복,보스 진입 티켓을 7회 사용하기,7,Credits,24000
351,kill_enemies_440_step351,EnemyKill,,위협 차단,적 440마리를 처치하기,440,Credits,48000
352,defeat_boss_7_step352,BossDefeat,,위협 재차단,보스를 7회 격퇴하기,7,CoreCrystals,300
353,enhance_weapon_35_step353,EnhanceWeapon,,화력망 안정화,무기를 35회 강화하기,35,CoreCrystals,355
354,reach_stage_44_step354,StageClear,,작전 경계 확대,스테이지 44에 도달하기,44,CoreCrystals,435
355,reach_level_80_step355,PlayerLevel,,숙련 지휘관,지휘관 레벨 80에 도달하기,80,CoreCrystals,335
356,collect_credits_17500_step356,CollectCredits,,최종 보급 기반,정제소 크레딧 17500을 수급하기,17500,CoreCrystals,480
357,defeat_boss_7_step357,BossDefeat,,강적 연속 격파,보스를 7회 격퇴하기,7,CoreCrystals,660
358,draw_skill_25_step358,DrawSkillGacha,,스킬 보급 작전,스킬을 25회 뽑기,25,CoreCrystals,280
360,enhance_drone_25_step360,EnhanceDrone,,드론 정비 루틴,드론을 25회 강화하기,25,CoreCrystals,335
361,kill_enemies_460_step361,EnemyKill,,교전 확대,적 460마리를 처치하기,460,Credits,49000
362,collect_weapons_1_step362,WeaponCollect,,칠십 종 무장 확보,무기를 1회 뽑기,1,Credits,36000
364,use_boss_ticket_7_step364,UseBossTicket,,보스 대응 강화,보스 진입 티켓을 7회 사용하기,7,Credits,24500
365,reach_stage_45_step365,StageClear,,전진로 압박,스테이지 45에 도달하기,45,CoreCrystals,440
366,collect_credits_18000_step366,CollectCredits,,후방 재원 확보,정제소 크레딧 18000을 수급하기,18000,CoreCrystals,490
367,defeat_boss_7_step367,BossDefeat,,요새 보스 격파,보스를 7회 격퇴하기,7,CoreCrystals,670
368,collect_credits_18500_step368,CollectCredits,,작전 자금 보충,정제소 크레딧 18500을 수급하기,18500,CoreCrystals,305
369,enhance_weapon_35_step369,EnhanceWeapon,,무장 출력 조정,무기를 35회 강화하기,35,CoreCrystals,360
370,reach_level_83_step370,PlayerLevel,,전술 통제관,지휘관 레벨 83에 도달하기,83,CoreCrystals,340
371,kill_enemies_470_step371,EnemyKill,,중앙 소탕,적 470마리를 처치하기,470,Credits,50000
372,draw_weapon_30_step372,DrawWeaponGacha,,무기 수급 확대,무기를 30회 뽑기,30,CoreCrystals,285
374,enhance_drone_25_step374,EnhanceDrone,,드론 작전 적응,드론을 25회 강화하기,25,CoreCrystals,340
375,reach_stage_47_step375,StageClear,,지역 통제,스테이지 47에 도달하기,47,CoreCrystals,445
376,collect_credits_19000_step376,CollectCredits,,군수 자금 보강,정제소 크레딧 19000을 수급하기,19000,CoreCrystals,500
377,defeat_boss_7_step377,BossDefeat,,우두머리 추적,보스를 7회 격퇴하기,7,CoreCrystals,680
378,collect_weapons_1_step378,WeaponCollect,,무기 보관 확장,무기를 1회 뽑기,1,Credits,37000
380,use_boss_ticket_8_step380,UseBossTicket,,심층 진입 작전,보스 진입 티켓을 8회 사용하기,8,Credits,25000
381,kill_enemies_490_step381,EnemyKill,,침투 저지,적 490마리를 처치하기,490,Credits,51000
382,enhance_weapon_40_step382,EnhanceWeapon,,화력 세부 조정,무기를 40회 강화하기,40,CoreCrystals,310
383,enhance_weapon_40_step383,EnhanceWeapon,,전방 무장 보정,무기를 40회 강화하기,40,CoreCrystals,365
384,reach_stage_48_step384,StageClear,,공세선 유지,스테이지 48에 도달하기,48,CoreCrystals,450
385,reach_level_87_step385,PlayerLevel,,작전 지휘관,지휘관 레벨 87에 도달하기,87,CoreCrystals,345
386,collect_credits_19500_step386,CollectCredits,,전역 자금 운용,정제소 크레딧 19500을 수급하기,19500,CoreCrystals,510
387,defeat_boss_8_step387,BossDefeat,,특수 위협 제거,보스를 8회 격퇴하기,8,CoreCrystals,690
388,draw_skill_30_step388,DrawSkillGacha,,스킬 보급 작전,스킬을 30회 뽑기,30,CoreCrystals,290
389,enhance_unit_10_step389,EnhanceUnit,,유닛 작전 적응,유닛 강화 10단계에 도달하기,10,CoreCrystals,345
390,enhance_drone_25_step390,EnhanceDrone,,무인 부대 갱신,드론을 25회 강화하기,25,CoreCrystals,345
391,kill_enemies_500_step391,EnemyKill,,공세 차단,적 500마리를 처치하기,500,Credits,52000
392,collect_weapons_1_step392,WeaponCollect,,고급 무장 확보,무기를 1회 뽑기,1,Credits,38000
394,use_boss_ticket_8_step394,UseBossTicket,,고난도 작전 진입,보스 진입 티켓을 8회 사용하기,8,Credits,25500
395,reach_stage_49_step395,StageClear,,확장 경로 돌파,스테이지 49에 도달하기,49,CoreCrystals,455
396,collect_credits_20000_step396,CollectCredits,,보급 재원 확대,정제소 크레딧 20000을 수급하기,20000,CoreCrystals,520
397,defeat_boss_8_step397,BossDefeat,,보스 저지선,보스를 8회 격퇴하기,8,CoreCrystals,700
398,reach_stage_50_step398,StageClear,,전선 전개,스테이지 50에 도달하기,50,CoreCrystals,315
399,reach_level_90_step399,PlayerLevel,,전장 조율관,지휘관 레벨 90에 도달하기,90,CoreCrystals,350
400,defeat_boss_8_step400,BossDefeat,,우세 확보,보스를 8회 격퇴하기,8,CoreCrystals,750


